fac_id,eqp_id,eqp_model_cd,eqp_grp_id,vendor_nm,eqp_ip,fab_name,updt_dt,available,version
R4,ECXDX851,CG6360,G-PCD-03,HITACHI,197.158.207.236,R4D,2025-05-06 08:06:01.284955,On,2
M16,PCD385,TP4500,G-MDS-01,AMAT,197.146.157.172,M16C,2025-05-26 08:06:01.284955,On,2
M15,ACD916,TP4500,G-KCD-02,AMAT,197.226.153.180,M15B,2025-06-08 08:06:01.284955,On,3
M13,ECDX668,CG6360,G-MCD-03,HITACHI,197.166.183.126,M13A,2025-05-17 08:06:01.284955,On,1
M14,ACD779,TP4500,G-PCD-02,AMAT,197.142.136.89,M14B,2025-05-20 08:06:01.284955,Off,3
M15,ACD357,PROVISION_10,G-MCD-01,AMAT,177.81.31.191,M15C,2025-05-06 08:06:01.284955,Off,3
M12,ECDX841,CG6360,G-PCD-03,HITACHI,197.252.26.214,M12B,2025-06-19 08:06:01.284955,On,2
M12,ECXDX380,CG6380,G-ECD-01,HITACHI,197.179.242.33,M12C,2025-04-23 08:06:01.284955,On,2
M11,VCD551,VERITYSEM_5,G-KCD-01,AMAT,177.65.241.221,M11A,2025-05-13 08:06:01.284955,On,1
M16,HCDX802,CG6380,G-ECD-01,HITACHI,177.208.145.243,M16D,2025-06-05 08:06:01.284955,On,1
M11,ECDX561,CG6380,G-MDS-02,HITACHI,197.79.146.159,M11D,2025-07-06 08:06:01.284955,On,3
M11,HCDX183,CG6340,G-MCD-01,HITACHI,177.142.20.41,M11B,2025-07-13 08:06:01.284955,On,3
R3,MCD395,TP3000,G-ACD-02,AMAT,197.19.176.60,R3D,2025-06-10 08:06:01.284955,On,3
R3,MCD763,TP3500,G-MCD-02,AMAT,177.19.16.43,R3B,2025-06-04 08:06:01.284955,On,3
M14,HCDX411,CG6360,G-ACD-02,HITACHI,197.129.139.127,M14D,2025-05-18 08:06:01.284955,On,1
M16,PCD334,TP3000,G-ACD-03,AMAT,177.196.173.211,M16C,2025-06-09 08:06:01.284955,On,1
M17,VCD750,TP4000,G-MDS-01,AMAT,197.90.105.86,M17D,2025-06-02 08:06:01.284955,On,1
M15,VCD933,PROVISION_10,G-PCD-01,AMAT,197.23.81.65,M15D,2025-06-02 08:06:01.284955,On,2
M18,PCD292,VERITYSEM_4,G-PCD-02,AMAT,197.161.114.195,M18A,2025-07-07 08:06:01.284955,On,3
M12,PCD129,VERITYSEM_5,G-ACD-03,AMAT,177.182.41.80,M12C,2025-05-04 08:06:01.284955,On,2
M11,ECXDX763,CG6360,G-MCD-02,HITACHI,197.131.181.70,M11B,2025-05-21 08:06:01.284955,On,2
M13,ECXDX713,CG6360,G-PCD-03,HITACHI,177.222.18.71,M13D,2025-05-21 08:06:01.284955,On,3
M14,VCD986,PROVISION_10,G-MCD-02,AMAT,197.89.86.142,M14A,2025-05-05 08:06:01.284955,On,2
M13,VCD144,TP4500,G-KCD-03,AMAT,197.181.234.208,M13B,2025-05-26 08:06:01.284955,On,3
R4,MCD614,TP3000,G-PCD-02,AMAT,177.224.217.113,R4B,2025-07-01 08:06:01.284955,On,2
M10,PCD580,TP4000,G-KCD-02,AMAT,197.167.21.219,M10B,2025-06-01 08:06:01.284955,On,3
M16,PCD340,TP3000,G-ACD-03,AMAT,197.59.192.24,M16C,2025-05-19 08:06:01.284955,Off,3
R5,ACD129,TP4000,G-ECD-02,AMAT,177.76.92.96,R5A,2025-05-19 08:06:01.284955,On,3
M16,ECXDX724,CG6320,G-MDS-03,HITACHI,177.128.234.150,M16B,2025-06-25 08:06:01.284955,On,3
M14,VCD394,TP3000,G-ACD-03,AMAT,177.19.114.242,M14D,2025-05-30 08:06:01.284955,Off,2
R4,ACD303,VERITYSEM_5,G-MDS-02,AMAT,177.61.98.147,R4D,2025-05-29 08:06:01.284955,On,3
M14,PCD679,PROVISION_10,G-ACD-03,AMAT,177.234.156.191,M14A,2025-05-11 08:06:01.284955,On,2
M13,HCDX356,CG6320,G-ACD-03,HITACHI,177.161.25.232,M13C,2025-04-24 08:06:01.284955,On,2
M17,PCD402,TP4000,G-KCD-03,AMAT,197.45.52.34,M17A,2025-05-05 08:06:01.284955,On,2
M18,ECDX925,CG6340,G-KCD-03,HITACHI,197.206.30.120,M18C,2025-07-04 08:06:01.284955,On,1
R4,VCD114,TP3500,G-KCD-03,AMAT,177.117.95.173,R4D,2025-04-18 08:06:01.284955,On,2
R4,ECDX125,CG6320,G-PCD-03,HITACHI,197.235.157.57,R4C,2025-04-22 08:06:01.284955,On,2
R5,MCD146,TP3500,G-ECD-02,AMAT,197.30.25.61,R5C,2025-05-06 08:06:01.284955,On,2
M15,HCDX201,CG6360,G-MDS-03,HITACHI,197.241.244.72,M15D,2025-07-09 08:06:01.284955,On,1
M17,ECXDX802,CG6340,G-KCD-03,HITACHI,197.16.102.71,M17D,2025-06-19 08:06:01.284955,Off,2
M11,ECDX349,CG6300,G-MCD-03,HITACHI,177.18.213.196,M11B,2025-05-04 08:06:01.284955,On,1
M13,ECXDX383,CG6380,G-MCD-01,HITACHI,197.205.45.29,M13C,2025-04-20 08:06:01.284955,On,1
M10,ECDX116,CG6380,G-MCD-02,HITACHI,177.33.190.108,M10C,2025-05-07 08:06:01.284955,On,1
M17,VCD615,TP3500,G-MCD-03,AMAT,177.187.201.233,M17D,2025-04-20 08:06:01.284955,On,2
R4,ECDX536,CG6360,G-ACD-01,HITACHI,197.183.233.114,R4A,2025-07-04 08:06:01.284955,On,2
R3,ECDX739,CG6320,G-ACD-03,HITACHI,197.98.153.136,R3B,2025-06-06 08:06:01.284955,On,3
M16,HCDX986,CG6380,G-MCD-02,HITACHI,197.228.59.106,M16A,2025-05-31 08:06:01.284955,On,2
M16,ACD781,VERITYSEM_4,G-KCD-02,AMAT,177.176.237.122,M16A,2025-07-05 08:06:01.284955,On,1
M11,ECXDX669,CG6340,G-ECD-03,HITACHI,197.172.32.106,M11D,2025-05-29 08:06:01.284955,On,2
R5,ACD206,PROVISION_10,G-PCD-03,AMAT,177.40.169.124,R5A,2025-06-15 08:06:01.284955,On,2
M18,HCDX331,CG6340,G-MDS-03,HITACHI,177.156.238.169,M18C,2025-04-16 08:06:01.284955,On,1
M14,PCD285,PROVISION_20,G-MCD-03,AMAT,197.18.37.190,M14C,2025-04-23 08:06:01.284955,Off,1
R5,VCD449,VERITYSEM_4,G-MCD-02,AMAT,197.185.84.199,R5B,2025-05-02 08:06:01.284955,On,1
M12,ECDX553,CG6300,G-ACD-02,HITACHI,197.156.114.107,M12B,2025-06-09 08:06:01.284955,On,3
M11,ACD794,TP3500,G-ACD-03,AMAT,197.135.171.79,M11C,2025-07-08 08:06:01.284955,On,3
M10,ECXDX885,CG6340,G-MCD-02,HITACHI,197.84.31.2,M10A,2025-05-11 08:06:01.284955,On,1
M12,HCDX953,CG6380,G-ACD-02,HITACHI,177.102.221.190,M12D,2025-07-08 08:06:01.284955,On,2
M11,VCD396,VERITYSEM_4,G-ECD-02,AMAT,177.248.84.44,M11C,2025-04-25 08:06:01.284955,On,3
M15,MCD546,TP3500,G-PCD-02,AMAT,177.102.223.80,M15A,2025-05-31 08:06:01.284955,On,1
M11,ECDX844,CG6340,G-ACD-01,HITACHI,177.27.38.66,M11A,2025-06-18 08:06:01.284955,On,1
R4,ECDX872,CG6360,G-PCD-03,HITACHI,197.175.237.226,R4A,2025-05-02 08:06:01.284955,On,3
M15,ECXDX580,CG6360,G-MDS-03,HITACHI,197.204.71.152,M15C,2025-07-06 08:06:01.284955,On,1
M14,PCD477,TP3000,G-KCD-01,AMAT,177.158.153.130,M14D,2025-05-25 08:06:01.284955,On,3
R5,ACD719,TP4500,G-MDS-03,AMAT,177.246.16.116,R5A,2025-06-30 08:06:01.284955,On,2
R5,ECXDX824,CG6300,G-MDS-02,HITACHI,177.94.96.235,R5A,2025-06-07 08:06:01.284955,On,2
R4,ACD196,TP3500,G-PCD-03,AMAT,197.73.65.186,R4A,2025-04-20 08:06:01.284955,Off,3
M12,HCDX244,CG6380,G-KCD-02,HITACHI,197.34.153.182,M12C,2025-07-03 08:06:01.284955,On,2
R4,ECXDX761,CG6380,G-ACD-02,HITACHI,197.5.93.80,R4C,2025-06-20 08:06:01.284955,Off,2
M17,ECXDX179,CG6320,G-KCD-01,HITACHI,177.170.87.225,M17B,2025-04-25 08:06:01.284955,On,2
M12,ECXDX838,CG6380,G-MDS-01,HITACHI,197.94.174.185,M12B,2025-06-13 08:06:01.284955,Off,3
M14,ECXDX416,CG6380,G-MDS-01,HITACHI,197.174.243.147,M14D,2025-05-18 08:06:01.284955,On,2
M16,HCDX241,CG6320,G-KCD-01,HITACHI,197.224.96.142,M16D,2025-06-30 08:06:01.284955,On,3
M11,ECDX560,CG6320,G-PCD-01,HITACHI,197.24.243.234,M11C,2025-06-15 08:06:01.284955,On,2
M10,HCDX482,CG6360,G-MCD-02,HITACHI,177.96.58.8,M10D,2025-06-03 08:06:01.284955,Off,3
R4,ECXDX393,CG6320,G-MDS-03,HITACHI,177.195.181.121,R4C,2025-05-17 08:06:01.284955,On,1
M10,HCDX844,CG6320,G-PCD-03,HITACHI,197.29.199.74,M10C,2025-06-13 08:06:01.284955,On,1
M13,PCD956,TP3500,G-MDS-03,AMAT,177.162.132.148,M13D,2025-06-13 08:06:01.284955,On,2
M16,VCD291,TP4500,G-ACD-03,AMAT,177.135.250.93,M16A,2025-07-05 08:06:01.284955,Off,3
M18,PCD750,VERITYSEM_5,G-MDS-02,AMAT,197.192.5.92,M18A,2025-07-05 08:06:01.284955,On,3
R4,PCD460,TP4000,G-PCD-02,AMAT,177.213.200.176,R4A,2025-05-15 08:06:01.284955,Off,2
R4,HCDX894,CG6300,G-MDS-01,HITACHI,197.52.12.203,R4B,2025-06-18 08:06:01.284955,On,2
M14,PCD871,PROVISION_10,G-ACD-01,AMAT,197.92.221.200,M14D,2025-07-07 08:06:01.284955,On,2
M14,VCD861,VERITYSEM_4,G-MDS-02,AMAT,197.250.48.128,M14A,2025-04-16 08:06:01.284955,On,3
M14,VCD716,TP3500,G-MCD-03,AMAT,197.83.27.21,M14A,2025-06-02 08:06:01.284955,On,2
M17,ECDX557,CG6360,G-ECD-03,HITACHI,197.158.112.71,M17D,2025-04-23 08:06:01.284955,Off,1
M11,PCD246,TP4000,G-PCD-03,AMAT,197.9.33.18,M11D,2025-06-13 08:06:01.284955,On,2
M15,ECXDX795,CG6380,G-MDS-02,HITACHI,197.114.196.20,M15D,2025-05-01 08:06:01.284955,On,2
M16,PCD126,TP4500,G-ACD-01,AMAT,197.133.100.234,M16C,2025-05-03 08:06:01.284955,On,2
R5,ECDX810,CG6380,G-MDS-01,HITACHI,177.35.219.19,R5D,2025-05-17 08:06:01.284955,On,3
M17,PCD663,PROVISION_20,G-PCD-02,AMAT,197.218.41.183,M17A,2025-04-14 08:06:01.284955,Off,3
M12,ECXDX911,CG6300,G-MCD-01,HITACHI,197.7.93.142,M12C,2025-05-01 08:06:01.284955,On,3
M12,ECDX834,CG6340,G-ACD-02,HITACHI,197.197.105.211,M12A,2025-05-01 08:06:01.284955,On,2
R4,ACD231,VERITYSEM_5,G-PCD-03,AMAT,177.197.248.34,R4A,2025-05-19 08:06:01.284955,On,1
M11,MCD430,TP4000,G-ACD-01,AMAT,197.243.241.133,M11B,2025-06-07 08:06:01.284955,On,2
M13,HCDX646,CG6340,G-ECD-03,HITACHI,177.152.242.149,M13C,2025-06-24 08:06:01.284955,On,3
R5,ECXDX146,CG6300,G-ACD-03,HITACHI,197.167.54.197,R5C,2025-05-01 08:06:01.284955,On,3
M10,VCD350,PROVISION_10,G-ACD-02,AMAT,197.117.19.177,M10D,2025-07-06 08:06:01.284955,On,2
M17,HCDX247,CG6340,G-KCD-03,HITACHI,197.188.253.221,M17D,2025-05-30 08:06:01.284955,Off,1
M15,VCD225,TP4500,G-KCD-02,AMAT,177.37.25.13,M15A,2025-06-06 08:06:01.284955,Off,3
M16,HCDX838,CG6340,G-KCD-01,HITACHI,177.128.132.120,M16B,2025-05-11 08:06:01.284955,On,2
M10,MCD320,VERITYSEM_5,G-PCD-02,AMAT,177.13.73.127,M10A,2025-04-28 08:06:01.284955,On,3
R4,PCD541,TP3000,G-MCD-02,AMAT,197.196.104.94,R4D,2025-07-08 08:06:01.284955,On,3
M18,PCD495,PROVISION_10,G-PCD-02,AMAT,197.212.254.160,M18B,2025-04-17 08:06:01.284955,On,1
M11,ACD873,PROVISION_20,G-MCD-01,AMAT,197.129.11.12,M11D,2025-07-09 08:06:01.284955,On,2
M17,HCDX243,CG6380,G-KCD-03,HITACHI,197.42.101.254,M17D,2025-04-26 08:06:01.284955,On,2
R3,VCD935,PROVISION_10,G-ECD-02,AMAT,197.173.29.251,R3C,2025-05-21 08:06:01.284955,On,3
R5,MCD838,PROVISION_10,G-ECD-03,AMAT,197.44.135.162,R5A,2025-04-25 08:06:01.284955,On,2
M12,HCDX212,CG6380,G-MCD-01,HITACHI,197.81.108.39,M12B,2025-05-22 08:06:01.284955,On,2
M18,HCDX312,CG6320,G-PCD-02,HITACHI,197.135.97.81,M18D,2025-06-21 08:06:01.284955,On,3
M15,MCD352,VERITYSEM_5,G-KCD-03,AMAT,197.58.242.250,M15C,2025-06-05 08:06:01.284955,On,3
M13,ACD673,VERITYSEM_5,G-ACD-02,AMAT,197.32.147.174,M13D,2025-05-05 08:06:01.284955,On,2
M15,ACD831,TP3000,G-ECD-02,AMAT,197.168.66.192,M15B,2025-05-13 08:06:01.284955,On,3
M14,HCDX858,CG6300,G-PCD-01,HITACHI,177.13.172.232,M14C,2025-05-07 08:06:01.284955,On,1
M10,VCD202,PROVISION_20,G-ACD-01,AMAT,177.247.141.251,M10A,2025-06-23 08:06:01.284955,On,2
M17,ACD761,PROVISION_20,G-ECD-01,AMAT,177.137.190.186,M17B,2025-07-09 08:06:01.284955,Off,1
M16,ECDX290,CG6360,G-ACD-02,HITACHI,177.3.77.146,M16B,2025-04-27 08:06:01.284955,On,2
M14,VCD379,TP4000,G-MCD-01,AMAT,197.42.188.118,M14D,2025-04-22 08:06:01.284955,On,1
M10,MCD725,TP4500,G-ACD-02,AMAT,197.132.84.23,M10C,2025-05-23 08:06:01.284955,On,1
M12,PCD367,TP4500,G-MDS-01,AMAT,197.193.69.245,M12D,2025-06-01 08:06:01.284955,On,3
R3,MCD163,PROVISION_20,G-ACD-01,AMAT,197.79.41.104,R3A,2025-04-17 08:06:01.284955,On,3
M14,MCD324,PROVISION_20,G-MCD-02,AMAT,177.117.192.254,M14A,2025-04-27 08:06:01.284955,On,3
M18,HCDX872,CG6320,G-PCD-01,HITACHI,197.136.181.93,M18D,2025-07-04 08:06:01.284955,Off,1
M10,ECDX974,CG6320,G-PCD-02,HITACHI,177.175.53.184,M10B,2025-04-30 08:06:01.284955,On,3
M17,VCD567,TP4000,G-PCD-01,AMAT,197.173.207.79,M17A,2025-07-11 08:06:01.284955,On,1
R5,ECDX452,CG6300,G-ACD-01,HITACHI,177.240.229.18,R5B,2025-05-14 08:06:01.284955,On,2
M12,VCD559,PROVISION_20,G-MDS-02,AMAT,177.175.247.170,M12B,2025-05-05 08:06:01.284955,On,2
M11,MCD954,TP4000,G-ECD-01,AMAT,197.119.173.185,M11B,2025-05-05 08:06:01.284955,On,2
M13,MCD382,PROVISION_20,G-MCD-03,AMAT,177.9.208.170,M13B,2025-05-21 08:06:01.284955,On,1
M13,HCDX134,CG6300,G-MDS-03,HITACHI,177.63.190.12,M13B,2025-05-23 08:06:01.284955,On,3
M13,ECDX339,CG6380,G-ACD-03,HITACHI,197.148.154.198,M13A,2025-04-18 08:06:01.284955,On,1
M14,ECDX381,CG6360,G-ECD-03,HITACHI,177.161.174.110,M14B,2025-05-03 08:06:01.284955,On,2
R4,VCD252,VERITYSEM_4,G-KCD-02,AMAT,177.194.138.122,R4D,2025-06-13 08:06:01.284955,On,2
R5,VCD526,TP3000,G-PCD-03,AMAT,177.100.63.66,R5B,2025-06-17 08:06:01.284955,On,1
M17,HCDX949,CG6380,G-MCD-01,HITACHI,197.97.173.155,M17C,2025-04-27 08:06:01.284955,On,1
M13,ACD410,TP4500,G-ECD-01,AMAT,177.247.190.31,M13B,2025-05-13 08:06:01.284955,Off,3
R3,ACD894,TP4500,G-KCD-02,AMAT,197.137.167.92,R3B,2025-06-04 08:06:01.285956,On,3
M17,ECDX308,CG6360,G-KCD-02,HITACHI,197.12.145.222,M17D,2025-06-15 08:06:01.285956,On,1
M14,MCD437,TP4000,G-MCD-02,AMAT,177.128.141.168,M14D,2025-04-17 08:06:01.285956,On,2
R5,ACD273,TP4000,G-MCD-03,AMAT,197.48.235.228,R5D,2025-05-05 08:06:01.285956,Off,1
M18,ECXDX522,CG6300,G-MCD-03,HITACHI,177.18.182.39,M18A,2025-07-12 08:06:01.285956,On,2
M15,PCD106,VERITYSEM_5,G-PCD-03,AMAT,197.4.5.136,M15A,2025-06-08 08:06:01.285956,On,2
M10,ECXDX636,CG6300,G-MCD-01,HITACHI,177.159.135.65,M10D,2025-05-29 08:06:01.285956,On,2
M11,MCD813,VERITYSEM_5,G-MCD-02,AMAT,177.168.254.220,M11C,2025-04-21 08:06:01.285956,On,1
M16,PCD752,VERITYSEM_5,G-ECD-03,AMAT,177.22.128.217,M16D,2025-05-19 08:06:01.285956,On,2
R3,ECXDX988,CG6320,G-ACD-03,HITACHI,197.70.12.237,R3A,2025-07-04 08:06:01.285956,On,2
M18,ECXDX312,CG6340,G-PCD-01,HITACHI,197.238.20.77,M18A,2025-06-23 08:06:01.285956,On,3
M16,PCD612,TP4000,G-ACD-02,AMAT,177.26.112.60,M16C,2025-07-04 08:06:01.285956,On,3
R3,ACD902,TP3000,G-MDS-02,AMAT,177.92.142.241,R3D,2025-05-26 08:06:01.285956,On,3
R3,ECDX917,CG6380,G-MCD-03,HITACHI,177.22.69.40,R3D,2025-05-26 08:06:01.285956,On,3
M12,PCD193,PROVISION_20,G-ECD-02,AMAT,197.93.195.70,M12D,2025-06-30 08:06:01.285956,On,1
M16,PCD191,TP3500,G-KCD-03,AMAT,177.153.154.201,M16D,2025-06-02 08:06:01.285956,On,1
M14,MCD685,TP3500,G-PCD-01,AMAT,197.44.36.69,M14D,2025-06-05 08:06:01.285956,On,1
M11,VCD406,PROVISION_10,G-MDS-01,AMAT,197.65.242.64,M11B,2025-04-24 08:06:01.285956,On,3
M13,ECDX106,CG6320,G-MDS-02,HITACHI,197.206.221.85,M13D,2025-05-18 08:06:01.285956,On,3
R3,MCD590,PROVISION_20,G-KCD-01,AMAT,197.248.82.75,R3B,2025-04-16 08:06:01.285956,On,3
M13,VCD473,PROVISION_10,G-ECD-03,AMAT,177.152.140.47,M13C,2025-04-17 08:06:01.285956,On,1
R5,ECDX951,CG6360,G-ACD-01,HITACHI,197.173.128.36,R5D,2025-04-23 08:06:01.285956,On,2
R4,PCD559,VERITYSEM_4,G-PCD-02,AMAT,197.137.130.237,R4B,2025-04-16 08:06:01.285956,On,1
M15,HCDX780,CG6320,G-KCD-01,HITACHI,177.145.252.166,M15A,2025-04-18 08:06:01.285956,On,2
M16,ECDX327,CG6300,G-PCD-03,HITACHI,177.115.96.101,M16A,2025-05-15 08:06:01.285956,On,3
R5,VCD207,TP3000,G-KCD-02,AMAT,177.30.213.241,R5B,2025-06-25 08:06:01.285956,On,2
M17,VCD199,PROVISION_20,G-MDS-03,AMAT,197.82.18.77,M17B,2025-07-08 08:06:01.285956,On,1
M10,HCDX349,CG6320,G-PCD-01,HITACHI,177.85.144.110,M10C,2025-05-15 08:06:01.285956,On,2
R4,ECDX129,CG6360,G-ACD-03,HITACHI,177.116.152.110,R4B,2025-05-25 08:06:01.285956,On,1
M13,ECXDX918,CG6380,G-PCD-01,HITACHI,197.84.51.118,M13C,2025-06-29 08:06:01.285956,On,2
M18,PCD456,VERITYSEM_4,G-KCD-02,AMAT,177.209.173.181,M18C,2025-06-05 08:06:01.285956,Off,3
M11,MCD412,TP3500,G-ECD-01,AMAT,197.178.37.131,M11B,2025-05-25 08:06:01.285956,On,1
R3,VCD750,TP4000,G-PCD-03,AMAT,177.143.43.126,R3D,2025-06-07 08:06:01.285956,On,2
M17,VCD239,TP3000,G-MCD-02,AMAT,197.105.176.126,M17A,2025-05-21 08:06:01.285956,On,2
M17,ECXDX914,CG6380,G-MCD-02,HITACHI,177.71.58.138,M17B,2025-06-07 08:06:01.285956,On,2
R3,ECXDX374,CG6380,G-PCD-02,HITACHI,177.195.185.113,R3D,2025-05-05 08:06:01.285956,On,2
M11,VCD369,TP3000,G-KCD-01,AMAT,197.222.31.199,M11B,2025-06-13 08:06:01.285956,On,3
R3,MCD903,TP4000,G-MCD-01,AMAT,177.146.90.137,R3C,2025-06-08 08:06:01.285956,On,1
M15,PCD238,PROVISION_10,G-MDS-01,AMAT,197.222.168.33,M15C,2025-04-15 08:06:01.285956,On,1
M12,ECDX245,CG6360,G-PCD-03,HITACHI,197.161.107.97,M12C,2025-05-17 08:06:01.285956,On,1
M16,VCD435,VERITYSEM_5,G-PCD-01,AMAT,177.188.249.118,M16C,2025-04-23 08:06:01.285956,On,2
M11,ECXDX606,CG6360,G-KCD-02,HITACHI,197.87.141.148,M11D,2025-06-27 08:06:01.285956,On,2
M15,HCDX902,CG6300,G-MDS-01,HITACHI,177.238.220.41,M15A,2025-05-18 08:06:01.285956,On,2
M13,ACD195,TP4000,G-ACD-02,AMAT,197.22.96.171,M13B,2025-04-21 08:06:01.285956,On,2
