MSR,sequence,chip_number,chip_coordinate,stage_coordinate,dnum_group,mp_number,parameter,cd_value,no_of_mp_image,mp_image_name_01
20250713_CD_GATE_28nm_TK133326,6,"-1, -8","11002897,297370","178990305, 143106298","23, -1",23,CD_MIDDLE,29.53,5,20250713_CD_GATE_28nm_TK133326_006_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,6,"-1, -8","11002897,297370","178990305, 143106298","23, -1",23,CD_BOTTOM,44.3,5,20250713_CD_GATE_28nm_TK133326_006_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,7,"5, 10","12373965,213176","173256752, 144970190","5, -1",5,CD_MIDDLE,24.07,5,20250713_CD_GATE_28nm_TK133326_007_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,7,"5, 10","12373965,213176","173256752, 144970190","5, -1",5,CD_BOTTOM,18.8,1,20250713_CD_GATE_28nm_TK133326_007_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,8,"-8, -4","14641911,238290","172118618, 148235577","0, -1",0,CD_MIDDLE,32.22,4,20250713_CD_GATE_28nm_TK133326_008_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,8,"-8, -4","14641911,238290","172118618, 148235577","0, -1",0,CD_BOTTOM,29.36,3,20250713_CD_GATE_28nm_TK133326_008_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,9,"-5, 9","10430979,233092","178014965, 141914064","12, -1",12,CD_MIDDLE,29.75,5,20250713_CD_GATE_28nm_TK133326_009_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,9,"-5, 9","10430979,233092","178014965, 141914064","12, -1",12,CD_BOTTOM,33.88,1,20250713_CD_GATE_28nm_TK133326_009_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,10,"-5, -8","11251560,273772","175097514, 141429098","3, -1",3,CD_MIDDLE,31.74,4,20250713_CD_GATE_28nm_TK133326_010_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,10,"-5, -8","11251560,273772","175097514, 141429098","3, -1",3,CD_BOTTOM,33.19,5,20250713_CD_GATE_28nm_TK133326_010_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,11,"-4, 9","14383656,249856","177558378, 147427625","18, -1",18,CD_MIDDLE,44.7,3,20250713_CD_GATE_28nm_TK133326_011_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,11,"-4, 9","14383656,249856","177558378, 147427625","18, -1",18,CD_BOTTOM,32.06,1,20250713_CD_GATE_28nm_TK133326_011_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,12,"6, -3","10832431,299973","173486102, 143540415","2, -1",2,CD_MIDDLE,19.71,2,20250713_CD_GATE_28nm_TK133326_012_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,12,"6, -3","10832431,299973","173486102, 143540415","2, -1",2,CD_BOTTOM,31.56,2,20250713_CD_GATE_28nm_TK133326_012_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,13,"-10, -4","13426893,259048","179962498, 147883823","7, -1",7,CD_MIDDLE,23.64,3,20250713_CD_GATE_28nm_TK133326_013_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,13,"-10, -4","13426893,259048","179962498, 147883823","7, -1",7,CD_BOTTOM,36.09,4,20250713_CD_GATE_28nm_TK133326_013_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,14,"-8, 5","11958100,234675","179895027, 143318855","17, -1",17,CD_MIDDLE,21.74,2,20250713_CD_GATE_28nm_TK133326_014_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,14,"-8, 5","11958100,234675","179895027, 143318855","17, -1",17,CD_BOTTOM,42.25,2,20250713_CD_GATE_28nm_TK133326_014_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,15,"-8, 5","10500280,221747","175160869, 149983182","18, -1",18,CD_MIDDLE,42.64,4,20250713_CD_GATE_28nm_TK133326_015_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,15,"-8, 5","10500280,221747","175160869, 149983182","18, -1",18,CD_BOTTOM,18.73,3,20250713_CD_GATE_28nm_TK133326_015_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,16,"9, -5","13376486,235683","178396529, 149059387","2, -1",2,CD_MIDDLE,32.94,4,20250713_CD_GATE_28nm_TK133326_016_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,16,"9, -5","13376486,235683","178396529, 149059387","2, -1",2,CD_BOTTOM,37.04,5,20250713_CD_GATE_28nm_TK133326_016_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,17,"-3, 1","10216970,211970","173840714, 149650239","0, -1",0,CD_MIDDLE,44.99,3,20250713_CD_GATE_28nm_TK133326_017_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,17,"-3, 1","10216970,211970","173840714, 149650239","0, -1",0,CD_BOTTOM,32.29,2,20250713_CD_GATE_28nm_TK133326_017_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,18,"2, 8","14353384,285394","177419378, 144666692","18, -1",18,CD_MIDDLE,28.08,4,20250713_CD_GATE_28nm_TK133326_018_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,18,"2, 8","14353384,285394","177419378, 144666692","18, -1",18,CD_BOTTOM,44.07,4,20250713_CD_GATE_28nm_TK133326_018_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,19,"-1, 9","13425472,243687","175386463, 141754894","10, -1",10,CD_MIDDLE,27.35,4,20250713_CD_GATE_28nm_TK133326_019_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,19,"-1, 9","13425472,243687","175386463, 141754894","10, -1",10,CD_BOTTOM,23.65,4,20250713_CD_GATE_28nm_TK133326_019_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,20,"4, 7","10307837,259614","171477398, 145276722","3, -1",3,CD_MIDDLE,44.11,4,20250713_CD_GATE_28nm_TK133326_020_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,20,"4, 7","10307837,259614","171477398, 145276722","3, -1",3,CD_BOTTOM,40.95,1,20250713_CD_GATE_28nm_TK133326_020_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,21,"7, 3","14551604,260552","176933143, 140909393","11, -1",11,CD_MIDDLE,33.68,4,20250713_CD_GATE_28nm_TK133326_021_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,21,"7, 3","14551604,260552","176933143, 140909393","11, -1",11,CD_BOTTOM,33.76,1,20250713_CD_GATE_28nm_TK133326_021_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,22,"-4, -2","12240230,271987","172198037, 144832327","22, -1",22,CD_MIDDLE,29.54,1,20250713_CD_GATE_28nm_TK133326_022_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,22,"-4, -2","12240230,271987","172198037, 144832327","22, -1",22,CD_BOTTOM,44.19,5,20250713_CD_GATE_28nm_TK133326_022_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,23,"-3, -5","11328572,240730","179241545, 140229419","2, -1",2,CD_MIDDLE,21.74,1,20250713_CD_GATE_28nm_TK133326_023_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,23,"-3, -5","11328572,240730","179241545, 140229419","2, -1",2,CD_BOTTOM,28.84,1,20250713_CD_GATE_28nm_TK133326_023_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,24,"7, -2","11291603,265323","174896624, 148537455","13, -1",13,CD_MIDDLE,40.04,4,20250713_CD_GATE_28nm_TK133326_024_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,24,"7, -2","11291603,265323","174896624, 148537455","13, -1",13,CD_BOTTOM,22.31,5,20250713_CD_GATE_28nm_TK133326_024_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,25,"-6, 9","13217752,224983","178526867, 142290229","8, -1",8,CD_MIDDLE,38.18,4,20250713_CD_GATE_28nm_TK133326_025_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,25,"-6, 9","13217752,224983","178526867, 142290229","8, -1",8,CD_BOTTOM,25.2,5,20250713_CD_GATE_28nm_TK133326_025_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,26,"-3, 9","10021518,237072","175008935, 149847180","21, -1",21,CD_MIDDLE,29.69,2,20250713_CD_GATE_28nm_TK133326_026_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,26,"-3, 9","10021518,237072","175008935, 149847180","21, -1",21,CD_BOTTOM,28.4,4,20250713_CD_GATE_28nm_TK133326_026_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,27,"-1, 7","12788708,272340","179117243, 146328534","10, -1",10,CD_MIDDLE,41.09,2,20250713_CD_GATE_28nm_TK133326_027_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,27,"-1, 7","12788708,272340","179117243, 146328534","10, -1",10,CD_BOTTOM,32.15,2,20250713_CD_GATE_28nm_TK133326_027_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,28,"1, -1","10366140,241704","177935224, 146395997","21, -1",21,CD_MIDDLE,38.77,2,20250713_CD_GATE_28nm_TK133326_028_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,28,"1, -1","10366140,241704","177935224, 146395997","21, -1",21,CD_BOTTOM,29.86,1,20250713_CD_GATE_28nm_TK133326_028_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,29,"-6, -1","14213523,277356","175569946, 141683838","14, -1",14,CD_MIDDLE,17.99,4,20250713_CD_GATE_28nm_TK133326_029_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,29,"-6, -1","14213523,277356","175569946, 141683838","14, -1",14,CD_BOTTOM,15.46,2,20250713_CD_GATE_28nm_TK133326_029_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,30,"1, -2","11294875,209807","177876745, 144446344","22, -1",22,CD_MIDDLE,26.92,1,20250713_CD_GATE_28nm_TK133326_030_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,30,"1, -2","11294875,209807","177876745, 144446344","22, -1",22,CD_BOTTOM,40.55,5,20250713_CD_GATE_28nm_TK133326_030_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,31,"0, 4","12656346,282155","178186400, 149076742","-1, -1",-1,CD_MIDDLE,17.05,3,20250713_CD_GATE_28nm_TK133326_031_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,31,"0, 4","12656346,282155","178186400, 149076742","-1, -1",-1,CD_BOTTOM,44.92,1,20250713_CD_GATE_28nm_TK133326_031_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,32,"2, -10","10825800,299663","171686231, 147443690","9, -1",9,CD_MIDDLE,42.1,1,20250713_CD_GATE_28nm_TK133326_032_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,32,"2, -10","10825800,299663","171686231, 147443690","9, -1",9,CD_BOTTOM,24.73,1,20250713_CD_GATE_28nm_TK133326_032_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,33,"-2, 2","13007008,249131","177225725, 142442255","13, -1",13,CD_MIDDLE,31.98,2,20250713_CD_GATE_28nm_TK133326_033_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,33,"-2, 2","13007008,249131","177225725, 142442255","13, -1",13,CD_BOTTOM,20.1,1,20250713_CD_GATE_28nm_TK133326_033_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,34,"6, -3","13209014,281226","174040453, 148349470","4, -1",4,CD_MIDDLE,21.97,3,20250713_CD_GATE_28nm_TK133326_034_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,34,"6, -3","13209014,281226","174040453, 148349470","4, -1",4,CD_BOTTOM,28.79,1,20250713_CD_GATE_28nm_TK133326_034_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,35,"2, 6","12412829,288815","179170395, 142650391","30, -1",30,CD_MIDDLE,25.37,5,20250713_CD_GATE_28nm_TK133326_035_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,35,"2, 6","12412829,288815","179170395, 142650391","30, -1",30,CD_BOTTOM,23.97,4,20250713_CD_GATE_28nm_TK133326_035_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,36,"8, 4","12097975,259878","175068760, 143342306","27, -1",27,CD_MIDDLE,29.5,2,20250713_CD_GATE_28nm_TK133326_036_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,36,"8, 4","12097975,259878","175068760, 143342306","27, -1",27,CD_BOTTOM,26.44,3,20250713_CD_GATE_28nm_TK133326_036_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,37,"5, -1","12481957,291655","174953150, 140368085","21, -1",21,CD_MIDDLE,26.87,1,20250713_CD_GATE_28nm_TK133326_037_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,37,"5, -1","12481957,291655","174953150, 140368085","21, -1",21,CD_BOTTOM,31.98,1,20250713_CD_GATE_28nm_TK133326_037_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,38,"6, -5","14166850,237512","173860745, 145910964","6, -1",6,CD_MIDDLE,33.63,2,20250713_CD_GATE_28nm_TK133326_038_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,38,"6, -5","14166850,237512","173860745, 145910964","6, -1",6,CD_BOTTOM,33.85,1,20250713_CD_GATE_28nm_TK133326_038_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,39,"-2, 10","13697892,204373","179723634, 146121355","2, -1",2,CD_MIDDLE,42.29,3,20250713_CD_GATE_28nm_TK133326_039_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,39,"-2, 10","13697892,204373","179723634, 146121355","2, -1",2,CD_BOTTOM,37.42,2,20250713_CD_GATE_28nm_TK133326_039_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,40,"-4, -4","11108636,270701","176138070, 148906224","8, -1",8,CD_MIDDLE,39.91,3,20250713_CD_GATE_28nm_TK133326_040_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,40,"-4, -4","11108636,270701","176138070, 148906224","8, -1",8,CD_BOTTOM,42.42,4,20250713_CD_GATE_28nm_TK133326_040_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,41,"-2, 3","12841349,215095","177857296, 141263313","30, -1",30,CD_MIDDLE,21.77,4,20250713_CD_GATE_28nm_TK133326_041_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,41,"-2, 3","12841349,215095","177857296, 141263313","30, -1",30,CD_BOTTOM,44.02,5,20250713_CD_GATE_28nm_TK133326_041_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,42,"0, -3","10757515,251717","170233516, 144436878","14, -1",14,CD_MIDDLE,26.06,3,20250713_CD_GATE_28nm_TK133326_042_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,42,"0, -3","10757515,251717","170233516, 144436878","14, -1",14,CD_BOTTOM,32.54,3,20250713_CD_GATE_28nm_TK133326_042_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,43,"-7, 8","11961440,261797","170419843, 149418852","19, -1",19,CD_MIDDLE,21.64,1,20250713_CD_GATE_28nm_TK133326_043_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,43,"-7, 8","11961440,261797","170419843, 149418852","19, -1",19,CD_BOTTOM,34.06,4,20250713_CD_GATE_28nm_TK133326_043_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,44,"9, -5","12534954,285097","176850067, 141957497","30, -1",30,CD_MIDDLE,16.12,4,20250713_CD_GATE_28nm_TK133326_044_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,44,"9, -5","12534954,285097","176850067, 141957497","30, -1",30,CD_BOTTOM,18.48,2,20250713_CD_GATE_28nm_TK133326_044_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,45,"4, 1","11138032,250940","177610879, 146224540","23, -1",23,CD_MIDDLE,35.89,5,20250713_CD_GATE_28nm_TK133326_045_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,45,"4, 1","11138032,250940","177610879, 146224540","23, -1",23,CD_BOTTOM,27.57,2,20250713_CD_GATE_28nm_TK133326_045_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,46,"1, 1","10830653,264139","176847048, 144693260","-1, -1",-1,CD_MIDDLE,26.12,4,20250713_CD_GATE_28nm_TK133326_046_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,46,"1, 1","10830653,264139","176847048, 144693260","-1, -1",-1,CD_BOTTOM,28.34,2,20250713_CD_GATE_28nm_TK133326_046_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,47,"0, -5","10833446,289873","176162857, 149134621","20, -1",20,CD_MIDDLE,25.76,4,20250713_CD_GATE_28nm_TK133326_047_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,47,"0, -5","10833446,289873","176162857, 149134621","20, -1",20,CD_BOTTOM,23.28,1,20250713_CD_GATE_28nm_TK133326_047_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,48,"2, 0","10769012,286870","173558545, 140358318","10, -1",10,CD_MIDDLE,22.31,2,20250713_CD_GATE_28nm_TK133326_048_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,48,"2, 0","10769012,286870","173558545, 140358318","10, -1",10,CD_BOTTOM,38.61,2,20250713_CD_GATE_28nm_TK133326_048_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,49,"-8, 4","14649031,227152","179837875, 143623062","7, -1",7,CD_MIDDLE,24.86,2,20250713_CD_GATE_28nm_TK133326_049_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,49,"-8, 4","14649031,227152","179837875, 143623062","7, -1",7,CD_BOTTOM,38.66,5,20250713_CD_GATE_28nm_TK133326_049_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,50,"-10, -4","12325949,218964","172180906, 149063311","5, -1",5,CD_MIDDLE,18.3,1,20250713_CD_GATE_28nm_TK133326_050_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,50,"-10, -4","12325949,218964","172180906, 149063311","5, -1",5,CD_BOTTOM,18.95,3,20250713_CD_GATE_28nm_TK133326_050_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,51,"-3, -6","14939656,242437","170264762, 142923366","4, -1",4,CD_MIDDLE,37.25,5,20250713_CD_GATE_28nm_TK133326_051_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,51,"-3, -6","14939656,242437","170264762, 142923366","4, -1",4,CD_BOTTOM,18.41,1,20250713_CD_GATE_28nm_TK133326_051_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,52,"3, -10","13760405,247453","178610704, 149960063","16, -1",16,CD_MIDDLE,21.65,5,20250713_CD_GATE_28nm_TK133326_052_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,52,"3, -10","13760405,247453","178610704, 149960063","16, -1",16,CD_BOTTOM,16.3,5,20250713_CD_GATE_28nm_TK133326_052_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,53,"-2, 6","13842339,284323","170522621, 141020480","27, -1",27,CD_MIDDLE,27.05,1,20250713_CD_GATE_28nm_TK133326_053_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,53,"-2, 6","13842339,284323","170522621, 141020480","27, -1",27,CD_BOTTOM,29.71,4,20250713_CD_GATE_28nm_TK133326_053_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,54,"-8, 6","10677719,242219","172488628, 141101965","19, -1",19,CD_MIDDLE,33.99,5,20250713_CD_GATE_28nm_TK133326_054_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,54,"-8, 6","10677719,242219","172488628, 141101965","19, -1",19,CD_BOTTOM,36.36,4,20250713_CD_GATE_28nm_TK133326_054_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,55,"5, 10","14450633,238652","177612081, 148481739","3, -1",3,CD_MIDDLE,38.79,1,20250713_CD_GATE_28nm_TK133326_055_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,55,"5, 10","14450633,238652","177612081, 148481739","3, -1",3,CD_BOTTOM,40.58,5,20250713_CD_GATE_28nm_TK133326_055_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,56,"9, 6","11803744,256370","177575834, 143833486","26, -1",26,CD_MIDDLE,28.6,4,20250713_CD_GATE_28nm_TK133326_056_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,56,"9, 6","11803744,256370","177575834, 143833486","26, -1",26,CD_BOTTOM,36.89,3,20250713_CD_GATE_28nm_TK133326_056_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,57,"1, 7","12621637,287177","174276341, 146279729","21, -1",21,CD_MIDDLE,42.69,1,20250713_CD_GATE_28nm_TK133326_057_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,57,"1, 7","12621637,287177","174276341, 146279729","21, -1",21,CD_BOTTOM,17.74,1,20250713_CD_GATE_28nm_TK133326_057_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,58,"-7, 0","13622842,212656","176251976, 142182975","18, -1",18,CD_MIDDLE,43.7,5,20250713_CD_GATE_28nm_TK133326_058_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,58,"-7, 0","13622842,212656","176251976, 142182975","18, -1",18,CD_BOTTOM,24.89,1,20250713_CD_GATE_28nm_TK133326_058_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,59,"1, -1","12966195,287207","177095702, 140863121","19, -1",19,CD_MIDDLE,24.37,1,20250713_CD_GATE_28nm_TK133326_059_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,59,"1, -1","12966195,287207","177095702, 140863121","19, -1",19,CD_BOTTOM,32.34,2,20250713_CD_GATE_28nm_TK133326_059_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,60,"-5, -6","14044897,229392","171815603, 145873938","11, -1",11,CD_MIDDLE,18.45,3,20250713_CD_GATE_28nm_TK133326_060_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,60,"-5, -6","14044897,229392","171815603, 145873938","11, -1",11,CD_BOTTOM,32.22,4,20250713_CD_GATE_28nm_TK133326_060_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,61,"5, -8","14670271,203441","174487028, 140485753","22, -1",22,CD_MIDDLE,37.87,3,20250713_CD_GATE_28nm_TK133326_061_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,61,"5, -8","14670271,203441","174487028, 140485753","22, -1",22,CD_BOTTOM,25.53,2,20250713_CD_GATE_28nm_TK133326_061_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,62,"-6, 8","14750645,286159","176724045, 141167449","20, -1",20,CD_MIDDLE,44.15,1,20250713_CD_GATE_28nm_TK133326_062_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,62,"-6, 8","14750645,286159","176724045, 141167449","20, -1",20,CD_BOTTOM,37.38,2,20250713_CD_GATE_28nm_TK133326_062_CD_BOTTOM_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,63,"0, 2","13521810,259460","175719285, 142640889","23, -1",23,CD_MIDDLE,24.73,5,20250713_CD_GATE_28nm_TK133326_063_CD_MIDDLE_20250719_083511.tif
20250713_CD_GATE_28nm_TK133326,63,"0, 2","13521810,259460","175719285, 142640889","23, -1",23,CD_BOTTOM,32.89,1,20250713_CD_GATE_28nm_TK133326_063_CD_BOTTOM_20250719_083511.tif
