Fab,eqp_id,Tool,Model,LotID,Timestamp,FullName,Class,Recipe,Start_Time,End_Time,MSR,MeasTime,MSR_Check,Align_fail,fail_images,total_images,fail_ratio,idp_name,idw_name
M14A,MCD928,MCD928,TP4000,QA736059,2025-06-21 01:58:27.675632,CONTACT/CONTACT_CD_14nm,CONTACT,CONTACT_CD_14nm,2025-06-21 01:58:27.675632,2025-06-21 02:50:32.675632,20250621_CONTACT_CD_14nm_QA736059,3125,Yes,Pass,38,393,0.0967,/Recipe/CONTACT/CONTACT_CD_14nm.idp,/Recipe/CONTACT/CONTACT_CD_14nm.idw
M10A,PCD818,PCD818,VERITYSEM_5,TK335612,2025-07-20 02:44:55.675632,OVL/OVL_GATE_CONTACT,OVL,OVL_GATE_CONTACT,2025-07-20 02:44:55.675632,2025-07-20 03:30:05.675632,20250720_OVL_GATE_CONTACT_TK335612,2710,Yes,Fail,70,373,0.1877,/Recipe/OVL/OVL_GATE_CONTACT.idp,/Recipe/OVL/OVL_GATE_CONTACT.idw
M14B,ECXDX381,ECXDX381,CG6300,WF639131,2025-06-28 23:23:15.675632,ROUGH/ROUGH_SIDEWALL_LER,ROUGH,ROUGH_SIDEWALL_LER,2025-06-28 23:23:15.675632,2025-06-28 23:37:16.675632,20250628_ROUGH_SIDEWALL_LER_WF639131,841,Yes,Pass,24,345,0.0696,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idp,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idw
M11B,PCD529,PCD529,VERITYSEM_4,WF201639,2025-07-06 21:39:36.675632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-07-06 21:39:36.675632,2025-07-06 22:34:22.675632,20250706_CONTACT_DEPTH_WF201639,3286,Yes,Pass,5,380,0.0132,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
R4,PCD303,PCD303,PROVISION_20,WF360735,2025-07-02 22:18:08.675632,ROUGH/ROUGH_GATE_LWR,ROUGH,ROUGH_GATE_LWR,2025-07-02 22:18:08.675632,2025-07-02 22:35:39.675632,20250702_ROUGH_GATE_LWR_WF360735,1051,Yes,Pass,5,88,0.0568,/Recipe/ROUGH/ROUGH_GATE_LWR.idp,/Recipe/ROUGH/ROUGH_GATE_LWR.idw
M10C,MCD928,MCD928,TP3500,EN666847,2025-06-20 15:20:07.675632,CD/CD_GATE_28nm,CD,CD_GATE_28nm,2025-06-20 15:20:07.675632,2025-06-20 15:58:16.675632,20250620_CD_GATE_28nm_EN666847,2289,Yes,Pass,1,80,0.0125,/Recipe/CD/CD_GATE_28nm.idp,/Recipe/CD/CD_GATE_28nm.idw
M14A,ECXDX754,ECXDX754,CG6360,PD399105,2025-07-15 14:27:54.675632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-07-15 14:27:54.675632,2025-07-15 14:36:53.675632,20250715_CONTACT_DEPTH_PD399105,539,Yes,Pass,20,432,0.0463,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
M15B,ECXDX859,ECXDX859,CG6380,QA994141,2025-07-19 00:15:35.675632,METAL/METAL1_CD,METAL,METAL1_CD,2025-07-19 00:15:35.675632,2025-07-19 00:33:16.675632,20250719_METAL1_CD_QA994141,1061,Yes,Fail,148,491,0.3014,/Recipe/METAL/METAL1_CD.idp,/Recipe/METAL/METAL1_CD.idw
M11B,ECXDX242,ECXDX242,CG6380,QA723398,2025-07-07 05:47:17.675632,CD/CD_GATE_28nm,CD,CD_GATE_28nm,2025-07-07 05:47:17.675632,2025-07-07 06:27:58.675632,20250707_CD_GATE_28nm_QA723398,2441,Yes,Pass,42,392,0.1071,/Recipe/CD/CD_GATE_28nm.idp,/Recipe/CD/CD_GATE_28nm.idw
M15A,ECDX532,ECDX532,CG6340,TK804318,2025-07-09 10:10:10.675632,THICK/THICK_NITRIDE,THICK,THICK_NITRIDE,2025-07-09 10:10:10.675632,2025-07-09 10:57:34.675632,20250709_THICK_NITRIDE_TK804318,2844,No,Pass,43,87,0.4943,/Recipe/THICK/THICK_NITRIDE.idp,/Recipe/THICK/THICK_NITRIDE.idw
M11A,PCD559,PCD559,PROVISION_10,DV172132,2025-07-10 13:38:34.675632,ROUGH/ROUGH_SIDEWALL_LER,ROUGH,ROUGH_SIDEWALL_LER,2025-07-10 13:38:34.675632,2025-07-10 14:20:39.675632,20250710_ROUGH_SIDEWALL_LER_DV172132,2525,Yes,Pass,45,463,0.0972,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idp,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idw
M14A,ECXDX754,ECXDX754,CG6380,EN208618,2025-07-16 11:57:16.675632,PROF/PROF_CONTACT_DEPTH,PROF,PROF_CONTACT_DEPTH,2025-07-16 11:57:16.675632,2025-07-16 12:12:52.675632,20250716_PROF_CONTACT_DEPTH_EN208618,936,Yes,Pass,21,417,0.0504,/Recipe/PROF/PROF_CONTACT_DEPTH.idp,/Recipe/PROF/PROF_CONTACT_DEPTH.idw
M16A,ACD448,ACD448,PROVISION_10,PD363319,2025-06-29 22:02:58.675632,CD/CD_GATE_28nm,CD,CD_GATE_28nm,2025-06-29 22:02:58.675632,2025-06-29 22:10:58.675632,20250629_CD_GATE_28nm_PD363319,480,Yes,Pass,55,376,0.1463,/Recipe/CD/CD_GATE_28nm.idp,/Recipe/CD/CD_GATE_28nm.idw
M16A,ECDX792,ECDX792,CG6360,EN548462,2025-07-16 11:06:25.675632,METAL/METAL1_CD,METAL,METAL1_CD,2025-07-16 11:06:25.675632,2025-07-16 11:21:35.675632,20250716_METAL1_CD_EN548462,910,Yes,Pass,28,348,0.0805,/Recipe/METAL/METAL1_CD.idp,/Recipe/METAL/METAL1_CD.idw
M10C,PCD765,PCD765,TP4000,DV482364,2025-07-14 05:25:23.675632,CD/CD_VIA_7nm,CD,CD_VIA_7nm,2025-07-14 05:25:23.675632,2025-07-14 05:37:24.675632,20250714_CD_VIA_7nm_DV482364,721,Yes,Pass,30,497,0.0604,/Recipe/CD/CD_VIA_7nm.idp,/Recipe/CD/CD_VIA_7nm.idw
M11B,MCD925,MCD925,TP4000,TK938742,2025-07-19 13:57:40.675632,PROF/PROF_CONTACT_DEPTH,PROF,PROF_CONTACT_DEPTH,2025-07-19 13:57:40.675632,2025-07-19 14:25:20.675632,20250719_PROF_CONTACT_DEPTH_TK938742,1660,Yes,Pass,50,392,0.1276,/Recipe/PROF/PROF_CONTACT_DEPTH.idp,/Recipe/PROF/PROF_CONTACT_DEPTH.idw
M11A,ECDX532,ECDX532,CG6340,EN213346,2025-06-22 23:23:53.675632,CONTACT/CONTACT_CD_14nm,CONTACT,CONTACT_CD_14nm,2025-06-22 23:23:53.675632,2025-06-23 00:00:18.675632,20250622_CONTACT_CD_14nm_EN213346,2185,Yes,Pass,16,496,0.0323,/Recipe/CONTACT/CONTACT_CD_14nm.idp,/Recipe/CONTACT/CONTACT_CD_14nm.idw
M15A,ECXDX214,ECXDX214,CG6320,DV392136,2025-07-09 04:42:06.675632,OVL/OVL_GATE_CONTACT,OVL,OVL_GATE_CONTACT,2025-07-09 04:42:06.675632,2025-07-09 05:33:29.675632,20250709_OVL_GATE_CONTACT_DV392136,3083,No,Pass,14,64,0.2188,/Recipe/OVL/OVL_GATE_CONTACT.idp,/Recipe/OVL/OVL_GATE_CONTACT.idw
M16B,ECDX132,ECDX132,CG6320,DV140115,2025-07-06 19:56:31.675632,OVL/OVL_VIA_METAL,OVL,OVL_VIA_METAL,2025-07-06 19:56:31.675632,2025-07-06 20:22:55.675632,20250706_OVL_VIA_METAL_DV140115,1584,Yes,Pass,6,109,0.055,/Recipe/OVL/OVL_VIA_METAL.idp,/Recipe/OVL/OVL_VIA_METAL.idw
M14A,MCD990,MCD990,TP4500,WF843215,2025-07-04 01:53:27.675632,CONTACT/CONTACT_CD_14nm,CONTACT,CONTACT_CD_14nm,2025-07-04 01:53:27.675632,2025-07-04 02:49:06.675632,20250704_CONTACT_CD_14nm_WF843215,3339,Yes,Pass,2,270,0.0074,/Recipe/CONTACT/CONTACT_CD_14nm.idp,/Recipe/CONTACT/CONTACT_CD_14nm.idw
M16B,ACD532,ACD532,PROVISION_20,DV795612,2025-06-21 17:42:00.675632,OVL/OVL_VIA_METAL,OVL,OVL_VIA_METAL,2025-06-21 17:42:00.675632,2025-06-21 18:32:31.675632,20250621_OVL_VIA_METAL_DV795612,3031,Yes,Pass,16,201,0.0796,/Recipe/OVL/OVL_VIA_METAL.idp,/Recipe/OVL/OVL_VIA_METAL.idw
M16E,ECDX658,ECDX658,CG6360,PD810219,2025-07-01 17:35:16.675632,PROF/PROF_VIA_TAPER,PROF,PROF_VIA_TAPER,2025-07-01 17:35:16.675632,2025-07-01 17:40:17.675632,20250701_PROF_VIA_TAPER_PD810219,301,Yes,Pass,39,452,0.0863,/Recipe/PROF/PROF_VIA_TAPER.idp,/Recipe/PROF/PROF_VIA_TAPER.idw
M15B,ACD814,ACD814,PROVISION_20,PD563638,2025-06-25 07:20:23.675632,ROUGH/ROUGH_SIDEWALL_LER,ROUGH,ROUGH_SIDEWALL_LER,2025-06-25 07:20:23.675632,2025-06-25 07:31:10.675632,20250625_ROUGH_SIDEWALL_LER_PD563638,647,Yes,Pass,18,367,0.049,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idp,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idw
M16E,VCD444,VCD444,TP4500,DV335552,2025-07-19 09:25:11.675632,ROUGH/ROUGH_GATE_LWR,ROUGH,ROUGH_GATE_LWR,2025-07-19 09:25:11.675632,2025-07-19 10:11:54.675632,20250719_ROUGH_GATE_LWR_DV335552,2803,Yes,Fail,190,262,0.7252,/Recipe/ROUGH/ROUGH_GATE_LWR.idp,/Recipe/ROUGH/ROUGH_GATE_LWR.idw
R3,MCD990,MCD990,TP4500,EN502630,2025-07-12 12:51:25.675632,VIA/VIA_TAPER_ANGLE,VIA,VIA_TAPER_ANGLE,2025-07-12 12:51:25.675632,2025-07-12 12:56:47.675632,20250712_VIA_TAPER_ANGLE_EN502630,322,Yes,Pass,12,104,0.1154,/Recipe/VIA/VIA_TAPER_ANGLE.idp,/Recipe/VIA/VIA_TAPER_ANGLE.idw
R4,ECDX704,ECDX704,CG6320,EN643118,2025-07-02 16:08:35.675632,VIA/VIA_CD_7nm,VIA,VIA_CD_7nm,2025-07-02 16:08:35.675632,2025-07-02 16:21:52.675632,20250702_VIA_CD_7nm_EN643118,797,Yes,Pass,31,391,0.0793,/Recipe/VIA/VIA_CD_7nm.idp,/Recipe/VIA/VIA_CD_7nm.idw
R4,MCD928,MCD928,PROVISION_20,PD742412,2025-06-24 01:38:38.675632,METAL/METAL2_PITCH,METAL,METAL2_PITCH,2025-06-24 01:38:38.675632,2025-06-24 01:54:29.675632,20250624_METAL2_PITCH_PD742412,951,Yes,Pass,20,182,0.1099,/Recipe/METAL/METAL2_PITCH.idp,/Recipe/METAL/METAL2_PITCH.idw
R4,ACD263,ACD263,PROVISION_10,QA608136,2025-07-05 10:54:59.675632,ROUGH/ROUGH_SIDEWALL_LER,ROUGH,ROUGH_SIDEWALL_LER,2025-07-05 10:54:59.675632,2025-07-05 11:15:59.675632,20250705_ROUGH_SIDEWALL_LER_QA608136,1260,Yes,Pass,3,326,0.0092,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idp,/Recipe/ROUGH/ROUGH_SIDEWALL_LER.idw
M15A,ECXDX204,ECXDX204,CG6320,EN260227,2025-07-06 21:31:15.675632,ROUGH/ROUGH_GATE_LWR,ROUGH,ROUGH_GATE_LWR,2025-07-06 21:31:15.675632,2025-07-06 22:08:03.675632,20250706_ROUGH_GATE_LWR_EN260227,2208,Yes,Pass,15,265,0.0566,/Recipe/ROUGH/ROUGH_GATE_LWR.idp,/Recipe/ROUGH/ROUGH_GATE_LWR.idw
R4,VCD204,VCD204,TP3000,QA498858,2025-06-19 19:29:29.675632,VIA/VIA_CD_7nm,VIA,VIA_CD_7nm,2025-06-19 19:29:29.675632,2025-06-19 20:01:06.675632,20250619_VIA_CD_7nm_QA498858,1897,Yes,Pass,21,264,0.0795,/Recipe/VIA/VIA_CD_7nm.idp,/Recipe/VIA/VIA_CD_7nm.idw
M15B,VCD881,VCD881,TP4500,TK386193,2025-07-19 20:31:23.675632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-07-19 20:31:23.675632,2025-07-19 21:22:44.675632,20250719_CONTACT_DEPTH_TK386193,3081,Yes,Pass,33,480,0.0688,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
M16A,ECXDX854,ECXDX854,CG6380,WF513160,2025-06-29 21:18:36.675632,CD/CD_GATE_28nm,CD,CD_GATE_28nm,2025-06-29 21:18:36.675632,2025-06-29 21:55:07.675632,20250629_CD_GATE_28nm_WF513160,2191,Yes,Pass,6,217,0.0276,/Recipe/CD/CD_GATE_28nm.idp,/Recipe/CD/CD_GATE_28nm.idw
R4,HCDX338,HCDX338,CG6340,PD391773,2025-06-23 10:39:42.675632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-06-23 10:39:42.675632,2025-06-23 11:35:50.675632,20250623_CONTACT_DEPTH_PD391773,3368,Yes,Pass,7,229,0.0306,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
R4,ECXDX381,ECXDX381,CG6300,WF359295,2025-06-30 12:24:49.675632,ROUGH/ROUGH_GATE_LWR,ROUGH,ROUGH_GATE_LWR,2025-06-30 12:24:49.675632,2025-06-30 13:02:08.675632,20250630_ROUGH_GATE_LWR_WF359295,2239,Yes,Pass,11,161,0.0683,/Recipe/ROUGH/ROUGH_GATE_LWR.idp,/Recipe/ROUGH/ROUGH_GATE_LWR.idw
M11A,ECDX132,ECDX132,CG6340,QA736745,2025-06-19 17:16:18.675632,OVL/OVL_M1M2,OVL,OVL_M1M2,2025-06-19 17:16:18.675632,2025-06-19 17:23:03.675632,20250619_OVL_M1M2_QA736745,405,Yes,Pass,14,242,0.0579,/Recipe/OVL/OVL_M1M2.idp,/Recipe/OVL/OVL_M1M2.idw
M10A,ACD259,ACD259,TP4500,QA824161,2025-06-27 18:04:24.675632,ROUGH/ROUGH_GATE_LWR,ROUGH,ROUGH_GATE_LWR,2025-06-27 18:04:24.675632,2025-06-27 18:50:23.675632,20250627_ROUGH_GATE_LWR_QA824161,2759,Yes,Pass,39,339,0.115,/Recipe/ROUGH/ROUGH_GATE_LWR.idp,/Recipe/ROUGH/ROUGH_GATE_LWR.idw
M15A,HCDX716,HCDX716,CG6380,EN488571,2025-06-29 18:10:35.675632,OVL/OVL_VIA_METAL,OVL,OVL_VIA_METAL,2025-06-29 18:10:35.675632,2025-06-29 18:44:15.675632,20250629_OVL_VIA_METAL_EN488571,2020,Yes,None,22,235,0.0936,/Recipe/OVL/OVL_VIA_METAL.idp,/Recipe/OVL/OVL_VIA_METAL.idw
M15A,PCD658,PCD658,TP4000,TK869440,2025-07-12 04:01:39.675632,METAL/METAL3_WIDTH,METAL,METAL3_WIDTH,2025-07-12 04:01:39.675632,2025-07-12 04:43:23.675632,20250712_METAL3_WIDTH_TK869440,2504,Yes,Pass,51,472,0.1081,/Recipe/METAL/METAL3_WIDTH.idp,/Recipe/METAL/METAL3_WIDTH.idw
M11B,ECDX130,ECDX130,CG6340,WF392477,2025-06-25 22:46:20.675632,VIA/VIA_CD_7nm,VIA,VIA_CD_7nm,2025-06-25 22:46:20.675632,2025-06-25 23:36:56.675632,20250625_VIA_CD_7nm_WF392477,3036,Yes,Fail,175,485,0.3608,/Recipe/VIA/VIA_CD_7nm.idp,/Recipe/VIA/VIA_CD_7nm.idw
M14B,PCD325,PCD325,TP4500,DV456871,2025-06-27 16:44:41.675632,THICK/THICK_POLY,THICK,THICK_POLY,2025-06-27 16:44:41.675632,2025-06-27 17:24:57.675632,20250627_THICK_POLY_DV456871,2416,Yes,Fail,173,418,0.4139,/Recipe/THICK/THICK_POLY.idp,/Recipe/THICK/THICK_POLY.idw
R3,MCD928,MCD928,TP4500,PD777278,2025-06-24 08:14:59.675632,VIA/VIA_TAPER_ANGLE,VIA,VIA_TAPER_ANGLE,2025-06-24 08:14:59.675632,2025-06-24 08:35:06.675632,20250624_VIA_TAPER_ANGLE_PD777278,1207,Yes,Pass,33,389,0.0848,/Recipe/VIA/VIA_TAPER_ANGLE.idp,/Recipe/VIA/VIA_TAPER_ANGLE.idw
M15A,PCD529,PCD529,PROVISION_20,EN677124,2025-06-27 22:27:00.675632,GATE/GATE_PROFILE_3D,GATE,GATE_PROFILE_3D,2025-06-27 22:27:00.675632,2025-06-27 22:49:09.675632,20250627_GATE_PROFILE_3D_EN677124,1329,Yes,Pass,3,211,0.0142,/Recipe/GATE/GATE_PROFILE_3D.idp,/Recipe/GATE/GATE_PROFILE_3D.idw
M11B,MCD384,MCD384,TP4000,TK874483,2025-06-27 02:58:14.675632,VIA/VIA_TAPER_ANGLE,VIA,VIA_TAPER_ANGLE,2025-06-27 02:58:14.675632,2025-06-27 03:43:58.675632,20250627_VIA_TAPER_ANGLE_TK874483,2744,Yes,None,6,149,0.0403,/Recipe/VIA/VIA_TAPER_ANGLE.idp,/Recipe/VIA/VIA_TAPER_ANGLE.idw
M14A,HCDX127,HCDX127,CG6320,WF842411,2025-07-11 09:13:16.675632,METAL/METAL1_CD,METAL,METAL1_CD,2025-07-11 09:13:16.675632,2025-07-11 09:38:12.675632,20250711_METAL1_CD_WF842411,1496,Yes,None,55,494,0.1113,/Recipe/METAL/METAL1_CD.idp,/Recipe/METAL/METAL1_CD.idw
M16B,ECXDX328,ECXDX328,CG6300,DV592198,2025-07-09 13:12:57.675632,VIA/VIA_TAPER_ANGLE,VIA,VIA_TAPER_ANGLE,2025-07-09 13:12:57.675632,2025-07-09 13:50:33.675632,20250709_VIA_TAPER_ANGLE_DV592198,2256,Yes,Fail,59,301,0.196,/Recipe/VIA/VIA_TAPER_ANGLE.idp,/Recipe/VIA/VIA_TAPER_ANGLE.idw
M11A,ACD263,ACD263,TP3000,TK950544,2025-07-12 11:45:29.675632,THICK/THICK_OXIDE,THICK,THICK_OXIDE,2025-07-12 11:45:29.675632,2025-07-12 12:18:53.675632,20250712_THICK_OXIDE_TK950544,2004,Yes,Pass,19,165,0.1152,/Recipe/THICK/THICK_OXIDE.idp,/Recipe/THICK/THICK_OXIDE.idw
M15B,HCDX674,HCDX674,CG6360,DV717113,2025-07-02 03:13:20.675632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-07-02 03:13:20.675632,2025-07-02 04:08:51.675632,20250702_CONTACT_DEPTH_DV717113,3331,Yes,Pass,11,370,0.0297,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
M11A,ACD532,ACD532,TP3500,TK282256,2025-07-14 08:36:09.675632,METAL/METAL1_CD,METAL,METAL1_CD,2025-07-14 08:36:09.675632,2025-07-14 09:28:12.675632,20250714_METAL1_CD_TK282256,3123,Yes,Pass,7,168,0.0417,/Recipe/METAL/METAL1_CD.idp,/Recipe/METAL/METAL1_CD.idw
M10A,HCDX195,HCDX195,CG6360,EN344762,2025-07-02 06:01:40.675632,THICK/THICK_POLY,THICK,THICK_POLY,2025-07-02 06:01:40.675632,2025-07-02 06:20:10.675632,20250702_THICK_POLY_EN344762,1110,Yes,Pass,8,381,0.021,/Recipe/THICK/THICK_POLY.idp,/Recipe/THICK/THICK_POLY.idw
M10A,ECDX130,ECDX130,CG6320,WF273982,2025-06-27 03:07:59.675632,THICK/THICK_POLY,THICK,THICK_POLY,2025-06-27 03:07:59.675632,2025-06-27 03:42:57.675632,20250627_THICK_POLY_WF273982,2098,Yes,Pass,24,408,0.0588,/Recipe/THICK/THICK_POLY.idp,/Recipe/THICK/THICK_POLY.idw
M16A,ECDX130,ECDX130,CG6380,PD559023,2025-07-18 21:57:01.675632,OVL/OVL_VIA_METAL,OVL,OVL_VIA_METAL,2025-07-18 21:57:01.675632,2025-07-18 22:43:13.675632,20250718_OVL_VIA_METAL_PD559023,2772,Yes,Fail,273,395,0.6911,/Recipe/OVL/OVL_VIA_METAL.idp,/Recipe/OVL/OVL_VIA_METAL.idw
R4,MCD990,MCD990,TP3000,EN961322,2025-07-18 13:40:14.675632,THICK/THICK_POLY,THICK,THICK_POLY,2025-07-18 13:40:14.675632,2025-07-18 14:29:42.675632,20250718_THICK_POLY_EN961322,2968,Yes,Pass,22,349,0.063,/Recipe/THICK/THICK_POLY.idp,/Recipe/THICK/THICK_POLY.idw
M15B,PCD325,PCD325,TP3500,DV528184,2025-06-28 12:03:51.675632,GATE/GATE_PROFILE_3D,GATE,GATE_PROFILE_3D,2025-06-28 12:03:51.675632,2025-06-28 12:31:21.675632,20250628_GATE_PROFILE_3D_DV528184,1650,Yes,Pass,55,389,0.1414,/Recipe/GATE/GATE_PROFILE_3D.idp,/Recipe/GATE/GATE_PROFILE_3D.idw
M15B,VCD444,VCD444,TP3000,WF429795,2025-07-16 21:05:13.675632,THICK/THICK_NITRIDE,THICK,THICK_NITRIDE,2025-07-16 21:05:13.675632,2025-07-16 21:10:17.675632,20250716_THICK_NITRIDE_WF429795,304,Yes,Pass,2,261,0.0077,/Recipe/THICK/THICK_NITRIDE.idp,/Recipe/THICK/THICK_NITRIDE.idw
M16B,MCD703,MCD703,PROVISION_20,PD755788,2025-07-13 16:44:49.675632,VIA/VIA_CD_7nm,VIA,VIA_CD_7nm,2025-07-13 16:44:49.675632,2025-07-13 17:09:28.675632,20250713_VIA_CD_7nm_PD755788,1479,Yes,Pass,0,112,0.0,/Recipe/VIA/VIA_CD_7nm.idp,/Recipe/VIA/VIA_CD_7nm.idw
R3,ACD263,ACD263,TP4500,TK425845,2025-07-02 21:14:55.676632,METAL/METAL1_CD,METAL,METAL1_CD,2025-07-02 21:14:55.676632,2025-07-02 21:27:39.676632,20250702_METAL1_CD_TK425845,764,Yes,None,10,476,0.021,/Recipe/METAL/METAL1_CD.idp,/Recipe/METAL/METAL1_CD.idw
M16A,ACD259,ACD259,PROVISION_10,EN386706,2025-07-04 15:39:16.676632,CONTACT/CONTACT_DEPTH,CONTACT,CONTACT_DEPTH,2025-07-04 15:39:16.676632,2025-07-04 15:54:08.676632,20250704_CONTACT_DEPTH_EN386706,892,Yes,Pass,34,310,0.1097,/Recipe/CONTACT/CONTACT_DEPTH.idp,/Recipe/CONTACT/CONTACT_DEPTH.idw
M14A,ECXDX854,ECXDX854,CG6300,PD456385,2025-06-23 08:28:27.676632,METAL/METAL2_PITCH,METAL,METAL2_PITCH,2025-06-23 08:28:27.676632,2025-06-23 08:53:49.676632,20250623_METAL2_PITCH_PD456385,1522,Yes,Pass,28,387,0.0724,/Recipe/METAL/METAL2_PITCH.idp,/Recipe/METAL/METAL2_PITCH.idw
M16A,ECXDX204,ECXDX204,CG6360,PD461888,2025-07-05 19:04:53.676632,GATE/GATE_PROFILE_3D,GATE,GATE_PROFILE_3D,2025-07-05 19:04:53.676632,2025-07-05 19:57:29.676632,20250705_GATE_PROFILE_3D_PD461888,3156,Yes,Pass,56,488,0.1148,/Recipe/GATE/GATE_PROFILE_3D.idp,/Recipe/GATE/GATE_PROFILE_3D.idw
