fac_id,eqp_id,eqp_model_cd,eqp_grp_id,vendor_nm,ip_address,fab_name,updt_dt,available,version
M13,MCD345,PROVISION_10,G-MCD-M13-18,AMAT,177.41.1.105,M13B,2025-05-12 21:09:37.157476,On,2
M14,HCDX389,CG6380,G-ACD-M14-15,HITACHI,177.176.60.237,M14A,2025-06-05 21:09:37.157476,On,3
R3,MCD763,PROVISION_10,G-MCD-R3-09,AMAT,177.19.16.43,R3B,2025-05-30 21:09:37.157476,On,3
M14,HCDX411,TP4000,G-ACD-M14-13,HITACHI,197.129.139.127,M14D,2025-05-13 21:09:37.157476,On,1
M16,PCD334,PROVISION_10,G-ACD-M16-19,AMAT,177.196.173.211,M16C,2025-06-04 21:09:37.157476,On,1
M17,VCD750,PROVISION_20,G-MDS-M17-03,AMAT,197.90.105.86,M17D,2025-05-28 21:09:37.157476,On,1
M15,VCD933,VERITYSEM_4,G-PCD-M15-02,AMAT,197.23.81.65,M15D,2025-05-28 21:09:37.157476,On,2
M18,PCD292,VERITYSEM_5,G-PCD-M18-12,AMAT,197.161.114.195,M18A,2025-07-02 21:09:37.157476,On,3
M12,PCD129,VERITYSEM_5,G-ACD-M12-20,AMAT,177.182.41.80,M12C,2025-04-29 21:09:37.157476,On,2
M11,ECXDX763,TP4000,G-MCD-M11-16,HITACHI,197.131.181.70,M11B,2025-05-16 21:09:37.157476,On,2
M13,ECXDX713,TP3500,G-PCD-M13-05,HITACHI,177.71.198.203,M13D,2025-05-16 21:09:37.157476,On,3
M14,VCD986,VERITYSEM_4,G-MCD-M14-15,AMAT,197.89.86.142,M14A,2025-04-30 21:09:37.157476,On,2
M13,VCD144,PROVISION_20,G-KCD-M13-16,AMAT,197.99.254.170,M13B,2025-04-16 21:09:37.157476,Off,2
M10,VCD202,PROVISION_10,G-PCD-M10-15,AMAT,177.185.37.105,M10B,2025-04-16 21:09:37.157476,Off,1
M17,PCD972,VERITYSEM_5,G-KCD-M17-18,AMAT,197.245.82.161,M17C,2025-05-07 21:09:37.157476,On,1
R3,ECXDX864,CG6380,G-ECD-R3-14,HITACHI,177.195.163.181,R3A,2025-06-26 21:09:37.157476,On,3
M14,ECXDX400,TP3000,G-KCD-M14-12,HITACHI,197.38.63.136,M14A,2025-05-17 21:09:37.157476,On,1
M12,HCDX799,TP3500,G-MCD-M12-16,HITACHI,177.60.119.164,M12B,2025-06-06 21:09:37.157476,On,3
M10,PCD552,PROVISION_20,G-KCD-M10-19,AMAT,197.164.247.109,M10D,2025-04-11 21:09:37.157476,On,2
M13,MCD490,PROVISION_10,G-PCD-M13-12,AMAT,197.180.76.6,M13D,2025-04-15 21:09:37.157476,On,1
R3,MCD721,VERITYSEM_4,G-KCD-R3-08,AMAT,177.159.65.174,R3A,2025-04-15 21:09:37.157476,On,1
R4,ECDX134,CG6380,G-PCD-R4-12,HITACHI,177.24.233.76,R4A,2025-05-28 21:09:37.157476,On,1
M13,MCD363,VERITYSEM_4,G-MDS-M13-10,AMAT,197.206.30.120,M13B,2025-06-29 21:09:37.157476,On,1
R4,VCD114,PROVISION_10,G-KCD-R4-18,AMAT,177.117.95.173,R4D,2025-04-13 21:09:37.157476,On,2
R4,ECDX125,CG6360,G-PCD-R4-18,HITACHI,197.235.157.57,R4C,2025-04-17 21:09:37.157476,On,2
R5,MCD146,PROVISION_10,G-ECD-R5-10,AMAT,197.30.25.61,R5C,2025-05-01 21:09:37.157476,On,2
M15,HCDX201,TP3500,G-MDS-M15-20,HITACHI,197.241.244.72,M15D,2025-07-04 21:09:37.157476,On,1
M17,ECXDX802,TP3000,G-KCD-M17-18,HITACHI,197.16.102.71,M17D,2025-06-14 21:09:37.157476,Off,2
M11,ECDX349,CG6300,G-MCD-M11-19,HITACHI,177.18.213.196,M11B,2025-04-29 21:09:37.157476,On,1
M13,ECDX979,CG6300,G-MCD-M13-05,HITACHI,197.205.45.29,M13C,2025-04-15 21:09:37.157476,On,1
M10,ECXDX278,TP3000,G-KCD-M10-02,HITACHI,177.190.108.135,M10C,2025-06-24 21:09:37.157476,On,2
M17,HCDX326,TP4000,G-PCD-M17-02,HITACHI,197.118.165.247,M17C,2025-07-05 21:09:37.157476,On,2
M16,HCDX554,TP4000,G-ECD-M16-03,HITACHI,197.156.38.17,M16D,2025-06-22 21:09:37.157476,On,3
R3,VCD617,VERITYSEM_4,G-PCD-R3-14,AMAT,177.204.180.30,R3C,2025-04-16 21:09:37.157476,On,3
R5,MCD523,VERITYSEM_5,G-KCD-R5-15,AMAT,197.107.187.25,R5B,2025-05-29 21:09:37.157476,On,3
M14,ECXDX193,TP4000,G-ECD-M14-03,HITACHI,197.25.191.190,M14C,2025-05-22 21:09:37.157476,On,3
M10,ECDX994,TP3500,G-ACD-M10-14,HITACHI,177.248.74.154,M10C,2025-05-30 21:09:37.157476,On,3
M18,ECXDX967,TP4000,G-ECD-M18-12,HITACHI,197.30.196.72,M18B,2025-04-26 21:09:37.157476,On,2
M18,MCD379,PROVISION_10,G-ACD-M18-10,AMAT,197.90.2.47,M18A,2025-06-20 21:09:37.157476,On,2
M11,HCDX643,CG6320,G-MCD-M11-13,HITACHI,197.117.88.41,M11B,2025-05-22 21:09:37.157476,On,2
R3,ECXDX872,CG6340,G-PCD-R3-02,HITACHI,177.70.114.170,R3A,2025-05-15 21:09:37.157476,On,2
M16,ECXDX453,TP4500,G-MDS-M16-04,HITACHI,197.174.174.152,M16C,2025-05-07 21:09:37.157476,On,2
M10,PCD309,PROVISION_10,G-KCD-M10-07,AMAT,177.196.66.75,M10B,2025-05-28 21:09:37.157476,On,2
R5,ECDX645,CG6340,G-ACD-R5-08,HITACHI,197.19.102.221,R5D,2025-07-03 21:09:37.157476,On,2
M11,VCD396,VERITYSEM_5,G-ECD-M11-13,AMAT,177.248.84.44,M11C,2025-04-20 21:09:37.157476,On,3
M15,MCD546,PROVISION_10,G-PCD-M15-13,AMAT,177.102.223.80,M15A,2025-05-26 21:09:37.157476,On,1
M11,ECDX844,TP3000,G-ACD-M11-05,HITACHI,177.27.38.66,M11A,2025-06-13 21:09:37.157476,On,1
R4,ECDX872,TP4000,G-PCD-R4-19,HITACHI,197.175.237.226,R4A,2025-04-27 21:09:37.157476,On,3
M15,ECXDX580,TP4000,G-MDS-M15-10,HITACHI,197.152.15.91,M15C,2025-05-05 21:09:37.157476,On,2
M17,ECDX178,TP3000,G-ACD-M17-03,HITACHI,197.119.149.142,M17A,2025-07-03 21:09:37.157476,On,3
R4,MCD163,VERITYSEM_5,G-MDS-R4-04,AMAT,197.252.183.22,R4B,2025-05-05 21:09:37.157476,On,1
M13,ACD481,PROVISION_20,G-KCD-M13-13,AMAT,197.199.87.174,M13D,2025-04-23 21:09:37.157476,On,3
R4,ECXDX671,TP3000,G-ACD-R4-13,HITACHI,197.65.186.219,R4C,2025-04-15 21:09:37.157476,Off,3
M12,ECDX417,CG6340,G-ACD-M12-13,HITACHI,177.153.182.241,M12C,2025-06-28 21:09:37.157476,On,2
R4,ECXDX761,TP4500,G-ACD-R4-14,HITACHI,197.5.93.80,R4C,2025-06-15 21:09:37.157476,Off,2
M17,ECXDX179,CG6340,G-KCD-M17-04,HITACHI,177.170.87.225,M17B,2025-04-20 21:09:37.157476,On,2
M12,HCDX548,CG6340,G-ECD-M12-14,HITACHI,197.174.185.61,M12B,2025-05-13 21:09:37.157476,On,3
M17,ECDX955,CG6380,G-MCD-M17-12,HITACHI,197.119.197.73,M17B,2025-05-21 21:09:37.157476,On,2
M12,ECXDX756,CG6380,G-MDS-M12-12,HITACHI,177.183.217.133,M12B,2025-06-23 21:09:37.157476,On,1
M14,ECXDX327,TP3500,G-MDS-M14-12,HITACHI,177.107.14.102,M14D,2025-05-05 21:09:37.157476,On,2
M11,ECDX201,CG6300,G-ACD-M11-11,HITACHI,177.36.10.74,M11C,2025-05-09 21:09:37.157476,On,1
R5,PCD119,PROVISION_10,G-KCD-R5-07,AMAT,177.141.241.187,R5D,2025-04-22 21:09:37.157476,On,1
M14,PCD344,PROVISION_10,G-MDS-M14-20,AMAT,197.17.29.215,M14B,2025-05-06 21:09:37.157476,On,1
R4,ECDX101,CG6380,G-PCD-R4-12,HITACHI,177.147.107.48,R4B,2025-04-14 21:09:37.157476,On,3
M15,ECDX144,TP3500,G-ACD-M15-13,HITACHI,197.65.192.5,M15A,2025-05-24 21:09:37.157476,On,2
M13,PCD460,PROVISION_20,G-PCD-M13-11,AMAT,177.213.200.176,M13A,2025-05-10 21:09:37.157476,Off,2
R4,HCDX894,CG6320,G-MDS-R4-02,HITACHI,197.52.12.203,R4B,2025-06-13 21:09:37.157476,On,2
M14,PCD871,VERITYSEM_4,G-ACD-M14-07,AMAT,197.92.221.200,M14D,2025-07-02 21:09:37.157476,On,2
M14,VCD861,VERITYSEM_5,G-MDS-M14-13,AMAT,197.250.48.128,M14A,2025-04-11 21:09:37.157476,On,3
M14,VCD716,PROVISION_10,G-MCD-M14-18,AMAT,197.83.27.21,M14A,2025-05-28 21:09:37.157476,On,2
M17,ECDX557,TP4000,G-ECD-M17-12,HITACHI,197.71.164.251,M17D,2025-07-01 21:09:37.157476,On,3
M16,ECXDX969,CG6300,G-PCD-M16-15,HITACHI,177.33.18.61,M16C,2025-04-17 21:09:37.157476,On,2
R3,ECDX480,TP4000,G-MDS-R3-03,HITACHI,177.136.94.102,R3A,2025-05-29 21:09:37.157476,On,1
M11,HCDX496,TP4000,G-PCD-M11-04,HITACHI,197.199.67.181,M11A,2025-05-12 21:09:37.157476,On,3
M14,ECXDX973,CG6320,G-ECD-M14-15,HITACHI,177.231.183.114,M14D,2025-06-27 21:09:37.157476,On,2
R4,HCDX397,TP4500,G-KCD-R4-06,HITACHI,177.204.93.131,R4C,2025-06-10 21:09:37.157476,On,1
M12,ACD667,PROVISION_10,G-PCD-M12-12,AMAT,197.206.252.142,M12B,2025-06-22 21:09:37.157476,On,1
M11,VCD887,VERITYSEM_5,G-MDS-M11-19,AMAT,177.33.249.82,M11C,2025-04-17 21:09:37.157476,On,2
R4,HCDX701,TP4500,G-MCD-R4-05,HITACHI,197.129.234.223,R4C,2025-07-01 21:09:37.157476,On,3
M12,ECDX826,CG6340,G-MCD-M12-12,HITACHI,197.217.21.65,M12C,2025-06-13 21:09:37.157476,On,3
M14,MCD706,PROVISION_10,G-PCD-M14-05,AMAT,177.169.160.185,M14B,2025-04-22 21:09:37.157476,On,3
M10,HCDX889,CG6300,G-PCD-M10-09,HITACHI,177.197.147.107,M10A,2025-04-20 21:09:37.157476,On,2
R4,MCD924,VERITYSEM_5,G-ACD-R4-13,AMAT,197.117.19.177,R4C,2025-07-01 21:09:37.157476,On,2
M17,HCDX247,TP3000,G-KCD-M17-11,HITACHI,197.250.103.34,M17D,2025-05-22 21:09:37.157476,On,1
M15,ACD560,PROVISION_10,G-MCD-M15-05,AMAT,177.13.75.243,M15B,2025-05-20 21:09:37.157476,On,2
M13,MCD881,VERITYSEM_4,G-MCD-M13-16,AMAT,197.128.226.79,M13B,2025-05-06 21:09:37.157476,On,2
M18,HCDX461,CG6360,G-ECD-M18-02,HITACHI,197.127.153.226,M18D,2025-04-16 21:09:37.157476,On,2
M18,ECXDX370,TP3500,G-ACD-M18-12,HITACHI,197.94.12.103,M18A,2025-07-02 21:09:37.157476,On,1
M15,HCDX561,TP3500,G-PCD-M15-09,HITACHI,177.33.250.25,M15C,2025-05-19 21:09:37.157476,On,2
M18,HCDX621,CG6360,G-MDS-M18-17,HITACHI,177.12.10.36,M18C,2025-05-27 21:09:37.157476,On,3
M17,HCDX426,TP3000,G-MCD-M17-13,HITACHI,197.152.87.130,M17B,2025-05-04 21:09:37.157476,On,3
R3,ACD439,PROVISION_10,G-ACD-R3-04,AMAT,197.150.79.204,R3C,2025-04-11 21:09:37.157476,On,3
M17,HCDX591,CG6300,G-MCD-M17-17,HITACHI,197.38.211.175,M17C,2025-06-07 21:09:37.157476,On,3
M11,ECDX528,TP4000,G-MCD-M11-14,HITACHI,177.106.129.199,M11B,2025-04-21 21:09:37.157476,Off,3
R5,ECXDX674,TP4500,G-KCD-R5-16,HITACHI,197.81.245.45,R5A,2025-05-11 21:09:37.157476,Off,2
M18,MCD352,VERITYSEM_5,G-KCD-M18-18,AMAT,197.58.242.250,M18C,2025-05-31 21:09:37.157476,On,3
M13,ACD673,VERITYSEM_5,G-ACD-M13-09,AMAT,197.32.147.174,M13D,2025-04-30 21:09:37.157476,On,2
M15,ACD831,PROVISION_10,G-ECD-M15-12,AMAT,197.168.66.192,M15B,2025-05-08 21:09:37.157476,On,3
M14,HCDX858,CG6320,G-PCD-M14-08,HITACHI,177.13.172.232,M14C,2025-05-02 21:09:37.157476,On,1
M10,VCD202,VERITYSEM_4,G-ACD-M10-05,AMAT,177.247.141.251,M10A,2025-06-18 21:09:37.157476,On,2
M17,ACD761,VERITYSEM_4,G-ECD-M17-03,AMAT,177.137.190.186,M17B,2025-07-04 21:09:37.157476,Off,1
M16,ECDX290,TP3500,G-ACD-M16-10,HITACHI,177.3.77.146,M16B,2025-04-22 21:09:37.157476,On,2
M14,VCD379,PROVISION_20,G-MCD-M14-04,AMAT,197.42.188.118,M14D,2025-04-17 21:09:37.157476,On,1
M10,MCD725,PROVISION_20,G-ACD-M10-13,AMAT,197.132.84.23,M10C,2025-05-18 21:09:37.157476,On,1
M12,PCD367,PROVISION_20,G-MDS-M12-08,AMAT,197.193.69.245,M12D,2025-05-27 21:09:37.157476,On,3
R3,MCD163,VERITYSEM_4,G-ACD-R3-04,AMAT,197.79.41.104,R3A,2025-04-12 21:09:37.157476,On,3
M14,MCD324,VERITYSEM_4,G-MCD-M14-16,AMAT,177.117.192.254,M14A,2025-04-22 21:09:37.157476,On,3
M18,HCDX872,CG6360,G-PCD-M18-03,HITACHI,197.136.181.93,M18D,2025-06-29 21:09:37.157476,Off,1
M10,ECDX974,CG6340,G-PCD-M10-15,HITACHI,177.175.53.184,M10B,2025-04-25 21:09:37.157476,On,3
M17,VCD567,PROVISION_20,G-PCD-M17-02,AMAT,197.173.207.79,M17A,2025-07-06 21:09:37.157476,On,1
R5,ECDX452,CG6300,G-ACD-R5-03,HITACHI,177.240.229.18,R5B,2025-05-09 21:09:37.157476,On,2
M12,VCD559,VERITYSEM_4,G-MDS-M12-13,AMAT,177.175.247.170,M12B,2025-04-30 21:09:37.157476,On,2
M11,MCD954,PROVISION_20,G-ECD-M11-01,AMAT,197.119.173.185,M11B,2025-04-30 21:09:37.157476,On,2
M13,MCD382,VERITYSEM_4,G-MCD-M13-04,AMAT,177.208.170.108,M13B,2025-04-21 21:09:37.157476,On,1
M13,HCDX134,CG6320,G-MDS-M13-20,HITACHI,177.63.190.12,M13B,2025-05-18 21:09:37.157476,On,3
M13,ECDX339,TP4500,G-ACD-M13-19,HITACHI,197.148.154.198,M13A,2025-04-13 21:09:37.157476,On,1
M14,ECDX381,TP3500,G-ECD-M14-18,HITACHI,177.161.174.110,M14B,2025-04-28 21:09:37.157476,On,2
R4,VCD252,VERITYSEM_5,G-KCD-R4-13,AMAT,177.194.138.122,R4D,2025-06-08 21:09:37.157476,On,2
R5,VCD526,PROVISION_10,G-PCD-R5-17,AMAT,177.100.63.66,R5B,2025-06-12 21:09:37.157476,On,1
M17,HCDX949,TP4500,G-MCD-M17-02,HITACHI,197.97.173.155,M17C,2025-04-22 21:09:37.157476,On,1
M13,ACD410,PROVISION_20,G-ECD-M13-07,AMAT,177.247.190.31,M13B,2025-05-08 21:09:37.157476,Off,3
R3,ACD894,PROVISION_20,G-KCD-R3-13,AMAT,197.137.167.92,R3B,2025-05-30 21:09:37.157476,On,3
M17,ECDX308,TP4000,G-KCD-M17-11,HITACHI,197.12.145.222,M17D,2025-06-10 21:09:37.157476,On,1
M14,MCD437,PROVISION_20,G-MCD-M14-13,AMAT,177.128.141.168,M14D,2025-04-12 21:09:37.157476,On,2
R5,ACD273,PROVISION_20,G-MCD-R5-18,AMAT,197.48.235.228,R5D,2025-04-30 21:09:37.157476,Off,1
M18,ECXDX522,CG6300,G-MCD-M18-08,HITACHI,177.182.39.3,M18A,2025-06-11 21:09:37.158472,On,2
M10,PCD644,PROVISION_10,G-PCD-M10-14,AMAT,177.5.136.185,M10D,2025-06-03 21:09:37.158472,On,2
M10,ECXDX636,CG6320,G-MCD-M10-08,HITACHI,177.159.135.65,M10D,2025-05-24 21:09:37.158472,On,2
M11,MCD813,VERITYSEM_5,G-MCD-M11-10,AMAT,177.168.254.220,M11C,2025-04-16 21:09:37.158472,On,1
M16,PCD752,VERITYSEM_5,G-ECD-M16-06,AMAT,177.128.217.112,M16D,2025-04-17 21:09:37.158472,On,3
M11,HCDX680,CG6360,G-MDS-M11-09,HITACHI,177.237.20.176,M11A,2025-06-03 21:09:37.158472,On,3
R4,ECXDX312,TP3000,G-PCD-R4-05,HITACHI,197.238.20.77,R4A,2025-06-18 21:09:37.158472,On,3
M16,PCD612,PROVISION_20,G-ACD-M16-12,AMAT,177.26.112.60,M16C,2025-06-29 21:09:37.158472,On,3
R3,ACD902,PROVISION_10,G-MDS-R3-16,AMAT,177.92.142.241,R3D,2025-05-21 21:09:37.158472,On,3
R3,ECXDX830,CG6380,G-ECD-R3-03,HITACHI,197.40.98.183,R3D,2025-04-18 21:09:37.158472,On,2
M15,ECXDX415,CG6320,G-MDS-M15-12,HITACHI,197.27.34.23,M15C,2025-06-15 21:09:37.158472,On,3
M18,ECXDX462,CG6300,G-PCD-M18-03,HITACHI,197.222.99.4,M18D,2025-06-01 21:09:37.158472,On,1
R5,ECXDX242,TP3500,G-KCD-R5-10,HITACHI,197.127.38.17,R5B,2025-06-17 21:09:37.158472,On,2
M14,ECDX352,TP3000,G-ACD-M14-16,HITACHI,177.118.28.35,M14D,2025-05-31 21:09:37.158472,On,2
M15,ACD540,VERITYSEM_5,G-ACD-M15-20,AMAT,177.77.83.155,M15D,2025-04-11 21:09:37.158472,On,2
M12,VCD689,VERITYSEM_4,G-MCD-M12-11,AMAT,197.72.210.202,M12D,2025-05-19 21:09:37.158472,On,3
M13,HCDX314,TP4000,G-MDS-M13-10,HITACHI,177.210.218.204,M13B,2025-05-17 21:09:37.158472,On,1
R4,HCDX257,CG6380,G-ACD-R4-14,HITACHI,197.19.115.254,R4C,2025-04-23 21:09:37.158472,On,2
M18,HCDX931,TP3000,G-PCD-M18-20,HITACHI,177.28.197.64,M18D,2025-04-15 21:09:37.158472,On,1
R4,VCD208,VERITYSEM_4,G-ECD-R4-04,AMAT,197.57.131.192,R4A,2025-05-03 21:09:37.158472,On,3
R3,VCD574,VERITYSEM_4,G-ACD-R3-19,AMAT,177.89.7.124,R3B,2025-06-25 21:09:37.158472,On,1
M11,ACD566,VERITYSEM_4,G-MCD-M11-17,AMAT,197.90.122.25,M11B,2025-05-13 21:09:37.158472,On,2
M15,PCD123,PROVISION_10,G-KCD-M15-04,AMAT,177.239.252.190,M15A,2025-06-07 21:09:37.158472,On,3
M12,MCD916,VERITYSEM_5,G-MDS-M12-06,AMAT,177.164.169.111,M12C,2025-05-19 21:09:37.158472,On,3
M13,PCD821,VERITYSEM_5,G-MCD-M13-07,AMAT,197.193.181.208,M13D,2025-06-30 21:09:37.158472,On,3
M12,VCD216,PROVISION_20,G-KCD-M12-16,AMAT,197.153.100.157,M12C,2025-05-19 21:09:37.158472,On,2
M15,HCDX704,CG6380,G-ECD-M15-05,HITACHI,197.31.62.79,M15D,2025-06-24 21:09:37.158472,On,3
M12,VCD533,PROVISION_20,G-MCD-M12-16,AMAT,177.143.43.126,M12D,2025-06-02 21:09:37.158472,On,2
M17,VCD239,PROVISION_10,G-MCD-M17-13,AMAT,197.105.176.126,M17A,2025-05-16 21:09:37.158472,On,2
M17,ECXDX399,CG6300,G-ECD-M17-09,HITACHI,177.138.74.44,M17B,2025-05-11 21:09:37.158472,On,2
M18,HCDX943,CG6380,G-KCD-M18-18,HITACHI,177.195.185.113,M18A,2025-04-30 21:09:37.158472,On,2
